date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:32	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2012%20Aug%202024%2007:54:14%20GMT	https://gemini.google.com/app/7b3bc6260f6d9034	E:/My%20Web%20Sites/Gemini/gemini.google.com/app/7b3bc6260f6d9034.0.delayed	(from )
12:50:35	1346769/1346769	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2007:54:16%20GMT	https://gemini.google.com/app/7b3bc6260f6d9034?hl=en	E:/My%20Web%20Sites/Gemini/gemini.google.com/app/7b3bc6260f6d9034fef7.html	(from )
12:50:35	116/116	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Aug%202024%2007:54:18%20GMT	https://gemini.google.com/robots.txt		(from )
12:50:36	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Aug%202024%2007:54:19%20GMT	http://www.gstatic.com/	E:/My%20Web%20Sites/Gemini/www.gstatic.com/index.html	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:36	24386/24386	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Mar%202024%2013:28:00%20GMT	https://www.gstatic.com/external_hosted/katex/dist/katex.min.css	E:/My%20Web%20Sites/Gemini/www.gstatic.com/external_hosted/katex/dist/katex.min.css	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:37	26894/26894	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://www.gstatic.com/external_hosted/quill/quill.bubble.css	E:/My%20Web%20Sites/Gemini/www.gstatic.com/external_hosted/quill/quill.bubble.css	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:38	1144/1144	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202024%2019:28:00%20GMT	https://www.gstatic.com/lamda/images/gemini_sparkle_v002_d4735304ff6292a690345.svg	E:/My%20Web%20Sites/Gemini/www.gstatic.com/lamda/images/gemini_sparkle_v002_d4735304ff6292a690345.svg	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:39	17780/17780	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jan%202024%2018:28:00%20GMT	https://www.gstatic.com/lamda/images/gemini_favicon_f069958c85030456e93de685481c559f160ea06b.png	E:/My%20Web%20Sites/Gemini/www.gstatic.com/lamda/images/gemini_favicon_f069958c85030456e93de685481c559f160ea06b.png	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:42	19271/19271	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2023:08:00%20GMT	https://www.gstatic.com/lamda/images/gemini_home_icon_8d62f72e7aae54b6859f1.png	E:/My%20Web%20Sites/Gemini/www.gstatic.com/lamda/images/gemini_home_icon_8d62f72e7aae54b6859f1.png	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
12:50:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2012%20Aug%202024%2007:54:32%20GMT	https://lh3.googleusercontent.com/	E:/My%20Web%20Sites/Gemini/lh3.googleusercontent.com/index.html	(from https://gemini.google.com/app/7b3bc6260f6d9034?hl=en)
